epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,572.331,1.05862,0.71912,0.89712,0.90398,0.88818,0.94872,0.70156,0.98186,0.69549,0.85799,0.000786012,0.000786012,0.000786012
43,586.42,1.03248,0.72373,0.88916,0.92146,0.95745,0.97076,0.74466,0.94087,0.63505,0.84795,0.000783013,0.000783013,0.000783013
44,604.066,1.0219,0.69653,0.88307,0.91425,0.93994,0.9498,0.76589,0.85751,0.6539,0.83681,0.000780013,0.000780013,0.000780013
45,614.852,1.01181,0.69403,0.88482,0.90401,0.96684,0.97537,0.76599,0.91608,0.62144,0.84788,0.000777013,0.000777013,0.000777013
46,628.677,1.01611,0.68215,0.88329,0.91805,0.92152,0.96588,0.73615,0.95412,0.65136,0.84974,0.000774013,0.000774013,0.000774013
47,643.083,1.01557,0.67876,0.87536,0.95365,0.9633,0.98135,0.70622,1.06038,0.63485,0.88479,0.000771014,0.000771014,0.000771014
48,654.416,0.99773,0.679,0.8833,0.92264,0.96649,0.977,0.74695,0.99114,0.62905,0.86842,0.000768014,0.000768014,0.000768014
49,666.495,1.01213,0.68579,0.894,0.91505,0.95504,0.97596,0.71871,1.08291,0.66891,0.89068,0.000765014,0.000765014,0.000765014
50,680.443,0.99933,0.67832,0.88868,0.91283,0.96871,0.96328,0.71324,0.95869,0.65099,0.86525,0.000762015,0.000762015,0.000762015
51,692.594,1.00434,0.66197,0.87622,0.90626,0.93202,0.97003,0.71109,0.99869,0.68361,0.86635,0.000759015,0.000759015,0.000759015
52,705.435,0.97582,0.64888,0.87591,0.92894,0.93157,0.9632,0.73424,0.91606,0.63527,0.85581,0.000756015,0.000756015,0.000756015
53,719.392,1.01672,0.65773,0.88939,0.96308,0.9182,0.97311,0.75193,0.91572,0.62858,0.84238,0.000753016,0.000753016,0.000753016
54,731.217,1.02067,0.66542,0.88929,0.92261,0.96016,0.98178,0.77327,0.90165,0.5924,0.84922,0.000750016,0.000750016,0.000750016
55,742.484,0.98082,0.63193,0.88221,0.95381,0.94306,0.95913,0.74114,0.85903,0.60717,0.83948,0.000747016,0.000747016,0.000747016
56,756.004,0.99584,0.64952,0.88389,0.924,0.95942,0.9772,0.74979,0.93992,0.62745,0.85271,0.000744016,0.000744016,0.000744016
57,769.075,1.00681,0.6545,0.88304,0.92382,0.93191,0.9576,0.72037,0.99464,0.62349,0.87256,0.000741017,0.000741017,0.000741017
58,780.325,0.99071,0.64457,0.887,0.96083,0.94822,0.97796,0.70447,1.01649,0.60598,0.87421,0.000738017,0.000738017,0.000738017
59,794.265,0.98088,0.62501,0.87459,0.96489,0.9612,0.9712,0.71835,1.00136,0.61481,0.87035,0.000735017,0.000735017,0.000735017
60,807.593,0.99573,0.6312,0.88115,0.95097,0.96431,0.98181,0.7245,0.95755,0.57596,0.85798,0.000732018,0.000732018,0.000732018
61,819.15,0.99807,0.63299,0.87891,0.95091,0.95694,0.97303,0.72283,1.02764,0.63414,0.86873,0.000729018,0.000729018,0.000729018
62,832.326,0.95267,0.62684,0.8784,0.93948,0.94162,0.9696,0.70099,1.05954,0.66244,0.88238,0.000726018,0.000726018,0.000726018
63,846.331,0.97201,0.62997,0.8769,0.91027,0.954,0.95818,0.71326,1.00997,0.66571,0.86745,0.000723019,0.000723019,0.000723019
64,861.593,0.97635,0.61718,0.8778,0.89749,0.96556,0.9696,0.74312,0.95949,0.63368,0.86127,0.000720019,0.000720019,0.000720019
65,873.609,0.94628,0.59561,0.8685,0.9385,0.95848,0.98133,0.72731,0.98641,0.58863,0.86494,0.000717019,0.000717019,0.000717019
66,887.465,0.94595,0.59784,0.87286,0.92979,0.96377,0.97498,0.73715,0.94398,0.58812,0.85657,0.000714019,0.000714019,0.000714019
67,900.256,0.96581,0.61809,0.87819,0.93004,0.94413,0.97621,0.74925,0.94622,0.5973,0.8596,0.00071102,0.00071102,0.00071102
68,912.035,0.95624,0.60983,0.87419,0.94575,0.96626,0.97503,0.75309,0.92796,0.59283,0.85363,0.00070802,0.00070802,0.00070802
69,925.365,0.95175,0.60657,0.86847,0.93301,0.97266,0.97942,0.73285,1.02372,0.59508,0.8725,0.00070502,0.00070502,0.00070502
70,939.599,0.95941,0.61971,0.87136,0.95797,0.94835,0.98238,0.73989,0.98565,0.59823,0.86262,0.000702021,0.000702021,0.000702021
71,949.975,0.97356,0.61593,0.87981,0.96918,0.94178,0.98397,0.72561,1.03312,0.59,0.87031,0.000699021,0.000699021,0.000699021
72,963.921,0.94638,0.58301,0.87236,0.95371,0.96404,0.98143,0.73185,1.00538,0.56949,0.87655,0.000696021,0.000696021,0.000696021
73,977.588,0.95618,0.59611,0.87887,0.93597,0.91931,0.94144,0.70386,0.99209,0.62705,0.8645,0.000693022,0.000693022,0.000693022
