                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91019,                 1.0793,                0.90548,                0.92224,                0.53591,                0.94083,                0.67457,                 1.0721,                 2.6036,                 1.0073,              0.0004085,              0.0004085,              0.0004085
                     36,                0.94949,                 1.0836,                0.91181,                0.89142,                0.70768,                 0.9325,                0.65898,                  1.086,                 2.4902,                 1.0155,             0.00038375,             0.00038375,             0.00038375
                     37,                0.90245,                 1.0349,                0.93057,                0.89142,                0.70768,                 0.9325,                0.65898,                  1.086,                 2.4902,                 1.0155,               0.000359,               0.000359,               0.000359
                     38,                0.95838,                 1.1691,                0.94812,                0.89716,                0.82519,                0.95333,                0.64105,                 1.1609,                 2.4396,                 1.0528,             0.00033425,             0.00033425,             0.00033425
                     39,                0.92124,                 1.0639,                0.91756,                0.88894,                0.88396,                0.95333,                0.61411,                 1.1716,                 2.3739,                 1.0619,              0.0003095,              0.0003095,              0.0003095
                     40,                0.95621,                 1.0857,                0.92613,                0.82492,                0.91418,                 0.9325,                0.61298,                 1.1169,                 2.2295,                 1.0522,             0.00028475,             0.00028475,             0.00028475
                     41,                0.89852,                 1.2263,                0.92852,                0.82492,                0.91418,                 0.9325,                0.61298,                 1.1169,                 2.2295,                 1.0522,                0.00026,                0.00026,                0.00026
                     42,                0.88492,                 1.2376,                0.91458,                0.86549,                0.91808,                0.95333,                0.68581,                  1.106,                 2.1115,                 1.0468,             0.00023525,             0.00023525,             0.00023525
                     43,                0.90567,                   1.24,                0.95093,                 0.8604,                0.89636,                0.93271,                 0.6691,                 1.1049,                 2.0135,                 1.0502,              0.0002105,              0.0002105,              0.0002105
                     44,                0.91706,                 1.2229,                0.93471,                0.84131,                0.90509,                0.93271,                0.64457,                 1.1367,                 1.9496,                 1.0694,             0.00018575,             0.00018575,             0.00018575
                     45,                0.89103,                 1.2587,                0.91423,                0.84131,                0.90509,                0.93271,                0.64457,                 1.1367,                 1.9496,                 1.0694,               0.000161,               0.000161,               0.000161
                     46,                0.82085,                  1.206,                0.90574,                0.97643,                0.88143,                0.97438,                0.67356,                 1.1566,                 1.8561,                  1.081,             0.00013625,             0.00013625,             0.00013625
                     47,                0.83452,                 1.2541,                0.89721,                0.95769,                0.88797,                0.97438,                0.68142,                 1.1652,                 1.7385,                 1.0826,              0.0001115,              0.0001115,              0.0001115
                     48,                0.86393,                 1.2065,                0.90085,                0.98445,                0.93753,                  0.995,                0.69356,                 1.1591,                 1.6123,                 1.0753,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.85927,                  1.223,                0.94263,                0.98445,                0.93753,                  0.995,                0.69356,                 1.1591,                 1.6123,                 1.0753,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.84344,                 1.1412,                0.92437,                0.98297,                0.94134,                  0.995,                0.69942,                 1.1513,                  1.527,                 1.0729,              3.725e-05,              3.725e-05,              3.725e-05
