epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.211,1.36402,4.15689,1.0071,0.01142,0.49599,0.04199,0.01861,1.08143,4.32557,0.84662,0.00011817,0.00011817,0.00011817
2,186.016,1.25773,3.30021,0.94235,0.01208,0.76861,0.17598,0.09944,1.05343,4.21417,0.84705,0.00024381,0.00024381,0.00024381
3,269.146,1.26384,2.60081,0.96139,0.01045,0.75038,0.22047,0.1384,1.05175,4.00024,0.85706,0.00036777,0.00036777,0.00036777
4,352.086,1.25204,2.26331,0.94597,0.01046,0.81369,0.31319,0.19083,1.03631,3.79375,0.8624,0.000490051,0.000490051,0.000490051
5,437.393,1.18942,2.00499,0.94812,0.01055,0.90805,0.47087,0.3058,1.07482,3.41563,0.86872,0.000610652,0.000610652,0.000610652
6,522.381,1.20047,1.799,0.93534,0.01064,0.97861,0.63947,0.4593,0.98723,3.08727,0.85952,0.000729572,0.000729572,0.000729572
7,606.439,1.18987,1.62904,0.95694,0.90288,0.21614,0.74165,0.50416,1.07526,2.65385,0.88387,0.000846813,0.000846813,0.000846813
8,694.321,1.19264,1.51048,0.97252,0.93724,0.53152,0.84431,0.57669,1.07026,2.24633,0.88946,0.000867004,0.000867004,0.000867004
9,782.34,1.16032,1.4307,0.94961,0.76475,0.71859,0.83542,0.59993,0.99405,1.8231,0.88329,0.000861005,0.000861005,0.000861005
10,867.82,1.14148,1.29416,0.9331,0.75311,0.7737,0.84596,0.60863,1.0078,1.44246,0.9014,0.000855005,0.000855005,0.000855005
11,950.809,1.14146,1.25516,0.93795,0.79835,0.85265,0.86875,0.62582,1.04996,1.29245,0.90069,0.000849006,0.000849006,0.000849006
12,1034.11,1.11162,1.17432,0.9471,0.83048,0.85847,0.93826,0.67238,1.06305,1.26217,0.88089,0.000843007,0.000843007,0.000843007
13,1116.8,1.12073,1.1403,0.92723,0.86,0.88616,0.92686,0.65774,1.00776,1.1373,0.87647,0.000837007,0.000837007,0.000837007
14,1199.14,1.1099,1.10893,0.93078,0.87254,0.91708,0.96581,0.7031,0.96808,1.00572,0.89184,0.000831008,0.000831008,0.000831008
15,1281.72,1.09466,1.08441,0.94096,0.90872,0.93142,0.97094,0.72276,0.94086,0.96576,0.86054,0.000825008,0.000825008,0.000825008
