epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0457,1.45692,4.34523,0.98773,0.00508,0.5419,0.17938,0.10276,1.01612,3.99057,0.84389,0.0001818,0.0001818,0.0001818
2,30.039,1.42052,2.84655,0.9461,0.00922,0.89528,0.28203,0.17366,1.10163,3.41808,0.85957,0.00037023,0.00037023,0.00037023
3,42.6417,1.35264,2.22399,0.94142,0.01068,0.97266,0.49525,0.34763,1.04253,2.98959,0.85327,0.000556141,0.000556141,0.000556141
4,56.0735,1.29687,1.9069,0.95186,0.90991,0.18317,0.68134,0.47239,1.08928,2.63988,0.85912,0.000739531,0.000739531,0.000739531
5,65.5765,1.26064,1.68821,0.94213,0.79982,0.53201,0.80709,0.55855,1.13734,2.08207,0.87774,0.000885002,0.000885002,0.000885002
6,78.3245,1.25631,1.57075,0.93793,0.70536,0.83029,0.83719,0.56708,1.13812,1.54956,0.88002,0.000879003,0.000879003,0.000879003
7,91.3745,1.2672,1.46029,0.95217,0.68548,0.81868,0.79788,0.57841,1.04068,1.25772,0.86716,0.000873004,0.000873004,0.000873004
8,100.797,1.18317,1.36669,0.93822,0.71726,0.8256,0.85821,0.62849,1.03362,1.00754,0.89483,0.000867004,0.000867004,0.000867004
9,114.274,1.22579,1.34089,0.93167,0.74779,0.81158,0.8439,0.63504,0.95793,0.98051,0.85747,0.000861005,0.000861005,0.000861005
10,126.227,1.18753,1.25315,0.93414,0.80391,0.8588,0.88781,0.64124,1.06244,0.92988,0.87493,0.000855005,0.000855005,0.000855005
11,136.117,1.17608,1.17662,0.93235,0.7902,0.87117,0.90621,0.66047,1.04764,0.97955,0.86077,0.000849006,0.000849006,0.000849006
12,148.62,1.17823,1.12223,0.92566,0.86974,0.92412,0.95785,0.69399,1.008,0.82582,0.85763,0.000843007,0.000843007,0.000843007
13,161.359,1.15835,1.10767,0.92823,0.93865,0.93681,0.97479,0.71205,1.01703,0.7636,0.85662,0.000837007,0.000837007,0.000837007
14,171.002,1.14963,1.06224,0.91627,0.80261,0.89125,0.89865,0.68777,0.99276,0.85686,0.86558,0.000831008,0.000831008,0.000831008
15,183.965,1.15338,1.03605,0.92435,0.90897,0.92154,0.95073,0.68681,1.06901,0.75931,0.88215,0.000825008,0.000825008,0.000825008
16,197.028,1.1368,0.99773,0.9127,0.96474,0.92678,0.97409,0.72833,0.96324,0.71684,0.86371,0.000819009,0.000819009,0.000819009
17,206.847,1.11059,0.9975,0.91361,0.93892,0.87399,0.97113,0.72837,0.99285,0.73105,0.87005,0.00081301,0.00081301,0.00081301
18,219.801,1.11874,0.97254,0.91581,0.915,0.90125,0.96793,0.73918,0.97628,0.75081,0.87025,0.00080701,0.00080701,0.00080701
19,231.697,1.12696,0.92618,0.91284,0.92474,0.85834,0.92854,0.69796,0.93733,0.72179,0.85489,0.000801011,0.000801011,0.000801011
20,241.998,1.10287,0.92168,0.92514,0.94874,0.93423,0.96995,0.72269,0.95757,0.68376,0.86042,0.000795011,0.000795011,0.000795011
21,254.893,1.12932,0.95417,0.92087,0.89641,0.85881,0.94435,0.71067,0.94059,0.78711,0.85336,0.000789012,0.000789012,0.000789012
22,266.617,1.14752,0.93699,0.91528,0.93123,0.90075,0.96561,0.72951,0.9627,0.73746,0.86479,0.000783013,0.000783013,0.000783013
23,277.643,1.10126,0.93142,0.9169,0.90818,0.90015,0.95544,0.71644,0.95897,0.72783,0.86356,0.000777013,0.000777013,0.000777013
24,290.316,1.08847,0.89273,0.90217,0.87179,0.95184,0.96336,0.71854,0.98212,0.79988,0.85822,0.000771014,0.000771014,0.000771014
25,301.081,1.0684,0.84953,0.9095,0.93216,0.97969,0.97627,0.72294,1.00232,0.68575,0.86082,0.000765014,0.000765014,0.000765014
26,312.917,1.05951,0.82247,0.90428,0.93874,0.95096,0.97179,0.73337,0.96905,0.6697,0.85553,0.000759015,0.000759015,0.000759015
27,325.801,1.06736,0.81993,0.89905,0.93244,0.94077,0.95729,0.70778,1.01559,0.6881,0.87427,0.000753016,0.000753016,0.000753016
28,335.61,1.09352,0.82869,0.90383,0.89661,0.9477,0.9587,0.72023,0.94238,0.70539,0.85336,0.000747016,0.000747016,0.000747016
29,347.539,1.0836,0.78343,0.9055,0.92648,0.93062,0.97162,0.73596,0.96051,0.66735,0.85931,0.000741017,0.000741017,0.000741017
30,360.38,1.06783,0.79572,0.89509,0.86467,0.95498,0.95492,0.7092,1.06557,0.70359,0.88361,0.000735017,0.000735017,0.000735017
31,370.052,1.05374,0.79232,0.9103,0.93926,0.94137,0.97043,0.72377,1.01034,0.67546,0.86652,0.000729018,0.000729018,0.000729018
32,383.027,1.05896,0.7805,0.8991,0.91255,0.90496,0.95056,0.67588,1.07571,0.76647,0.88152,0.000723019,0.000723019,0.000723019
33,396.106,1.05243,0.78218,0.89573,0.90031,0.96012,0.9716,0.72117,0.95343,0.66486,0.86132,0.000717019,0.000717019,0.000717019
